,USD,INR,CAD,EUR,GBP,SAR,AED,QAR,KWD,BHD,OMR
Static Website,99.99,8999.99,139.99,89.99,79.99,379.99,369.99,369.99,29.99,39.99,39.99
Dynamic Website,199.99,17999.99,279.99,179.99,149.99,749.99,739.99,729.99,59.99,79.99,79.99
E-commerce Website,299.99,26999.99,419.99,259.99,229.99,1149.99,1099.99,1099.99,89.99,119.99,119.99
,,,,,,,,,,,
Monthly Fee,,,,,,,,,,,
Static,9.99,899.99,13.99,8.99,7.99,37.99,36.99,36.99,2.99,3.99,3.99
Dynamic,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
E-Commerce,29.99,2699.99,41.99,25.99,22.99,112.99,109.99,109.99,8.99,11.99,11.99
,,,,,,,,,,,
Add On,,,,,,,,,,,
Extra Page,9.99,899.99,13.99,8.99,7.99,37.99,36.99,36.99,2.99,3.99,3.99
Extra Product,1.99,179.99,2.99,1.99,1.99,7.99,7.99,7.99,0.99,0.99,0.99
Payment Gateway,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
Email Account,2.99,259.99,4.99,2.99,2.99,11.99,10.99,10.99,0.99,1.99,1.99
,,,,,,,,,,,
Additional Feature,,,,,,,,,,,
Contact Forms,4.99,449.99,6.99,4.99,3.99,18.99,18.99,18.99,1.99,1.99,1.99
New Letter,4.99,449.99,6.99,4.99,3.99,18.99,18.99,18.99,1.99,1.99,1.99
Social Media,4.99,449.99,6.99,4.99,3.99,18.99,18.99,18.99,1.99,1.99,1.99
Google Map,4.99,449.99,6.99,4.99,3.99,18.99,18.99,18.99,1.99,1.99,1.99
Booking,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
Live Chat,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
Multi Language,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
Search,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
Image,9.99,899.99,13.99,8.99,7.99,37.99,36.99,36.99,2.99,3.99,3.99
Video,19.99,1799.99,27.99,17.99,14.99,74.99,73.99,72.99,5.99,7.99,7.99
,,,,,,,,,,,
Long-Term Discounts,,,,,,,,,,,
Yerly,17,17,17,17,17,17,17,17,17,17,17
2 Year,25,25,25,25,25,25,25,25,25,25,25
3 Year,35,35,35,35,35,35,35,35,35,35,35
